Compound,Life_extended,CAS Number,SMILES,PubChem_Common_Name,PubChem_CID
,0,,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,"L-741,626",133633
,0,,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,loperamide,3955
,0,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,haloperidol,3559
,0,,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,Alaproclate,2081
,0,,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,capsazepine,2733484
,0,,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,118414-82-7,3651377
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Cl)cc1,1-(4-Chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid,4059895
,0,,CN(C)CCOC(=O)COc1ccc(Cl)cc1,meclofenoxate,4039
,0,,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,chlorpropamide,2727
,0,,Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2C1OC2COP(=O)(O)OC2C1O,SCHEMBL7950989,1904
,0,,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,Alinidine,36354
,0,,Fc1ccc(CN(C2=NCCN2)c2c(Cl)cccc2Cl)cc1,"N-(2,6-dichlorophenyl)-N-[(4-fluorophenyl)methyl]-4,5-dihydro-1H-imidazol-2-amine",6603884
,0,,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,diclofenac,3033
,0,,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,PK 11195,1345
,0,,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,mitotane,4211
,0,,CC(C)(C)NCC(O)c1ccccc1Cl,tulobuterol,5606
,0,,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,clotrimazole,2812
,0,,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,1154-25-2,1795
,0,,CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,5-dimethylamiloride,1793
,0,,CC(C)CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,5-(N-Methyl-N-isobutyl)amiloride,73314
,0,,NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,"5-(N,N-Hexamethylene)amiloride",1794
,0,,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1O,2 ClAdo,235481
,0,,Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,PD025689,1549
,0,,Nc1c(S(=O)(=O)O)cc(Nc2ccc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)O)c4)n3)c(S(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O,Reactive Blue 2,656725
,0,,COc1nc(C)nc(Cl)c1NC1=NCCN1,MOXONIDINE,4810
,0,,Clc1nccc2c1ccc1ccccc12,4-Chlorobenzo[f]isoquinoline,11401613
,0,,Clc1ccc(N2CC3CCC(C2)N3)nn1,"3-(6-chloropyridazin-3-yl)-3,8-diazabicyclo[3.2.1]octane",6412645
,0,,O=C(NC(Cc1ccccc1)C(=O)CCl)OCc1ccccc1,26049-98-9,291704
,0,,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)CCl)cc1,329-30-6,9824
,0,,Cc1ccc(S(=O)(=O)NC(CCCCN)C(=O)CCl)cc1,TOSYLLYSINE CHLOROMETHYL KETONE,4427
,0,,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,phenoxybenzamine,4768
,0,,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,Sarcolysin,4053
,0,,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,chlorambucil,2708
,0,,CC(=O)OCCN(C)CCCl,Acetylcholine mustard,93191
,0,,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,NIMUSTINE,39214
,0,,O=NN(CCCl)C(=O)NCCCl,carmustine,2578
,0,,O=[N+]([O-])c1ccc(OC2OC(CO)C(O)C(O)C2F)c([N+](=O)[O-])c1,"6-(2,4-dinitrophenoxy)-5-fluoro-2-(hydroxymethyl)oxane-3,4-diol",4145310
,0,,FC(F)(F)c1cc(COC2CCCNC2c2ccccc2)cc(C(F)(F)F)c1,L 733060 (hydrochloride),4302965
,0,,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,"[3,5-bis(trifluoromethyl)phenyl]methyl 2-acetamido-3-(1H-indol-3-yl)propanoate",3563638
,0,,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,nilutamide,4493
,0,,O=c1[nH]c2cc(C(F)(F)F)ccc2n1-c1cc(C(F)(F)F)ccc1O,NS-1619,4552
,0,,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,flutamide,3397
,0,,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,niflumic acid,4488
,0,,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,109028-09-3,2689
,0,,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,2-[[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine,3404
,0,,Cc1nnc2cc(-c3ccc(C(F)(F)F)cc3)cnn12,"3-Methyl-6-(3-[trifluoromethyl]phenyl)-1,2,4-triazolo[4,3-b]pyridazine",6603922
,0,,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,leflunomide,3899
,0,,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)O,372198-80-6,10044847
,0,,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,fluoxetine,3386
,0,,FC(F)(F)c1ccccc1-n1ccnc1,25371-96-4,1359
,0,,COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F,71145-03-4,2303
,0,,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1,CGP-20712,2685
,0,,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,flecainide,3356
,0,,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,zardaverine,5723
,0,,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O,"1-(5-deoxypentofuranosyl)-5-fluoropyrimidine-2,4(1h,3h)-dione",3159
,0,,O=c1[nH]cc(F)c(=O)[nH]1,5-Fluorouracil,3385
,0,,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,Mycolog,5544
,0,,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,Celestone,3003
,0,,CCCN(CCC)C1CCc2c(F)ccc(O)c2C1,5-Fluoro-8-hydroxy-2-(dipropylamino)tetralin,5122
,0,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,lomefloxacin,3948
,0,,CC(C)C1c2ccc(F)cc2CCC1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1,"[2-[2-[3-(1H-benzimidazol-2-yl)propyl-methylamino]ethyl]-6-fluoro-1-propan-2-yl-3,4-dihydro-1H-naphthalen-2-yl] cyclopropanecarboxylate",22447551
,0,,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,181629-93-6,443390
,0,,Fc1cccc(C=NN=Cc2cccc(F)c2)c1,1-(3-fluorophenyl)-N-[(3-fluorophenyl)methylideneamino]methanimine,2378095
,0,,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,flumazenil,3373
,0,,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,"[2-[2-[3-(1H-benzimidazol-2-yl)propyl-methylamino]ethyl]-6-fluoro-1-propan-2-yl-3,4-dihydro-1H-naphthalen-2-yl] 2-methoxyacetate",5230270
,0,,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ofloxacin,4583
,0,,O=C(O)c1cc2cc(F)ccc2[nH]1,5-Fluoroindole-2-carboxylic acid,1820
,0,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,risperidone,5073
,0,,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(F)cc2)[nH]c2ccccc12,FGIN-1-27,132496
,0,,O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,152121-53-4,4712
,0,,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,"3-(1,3-benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",4691
,0,,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,Pirenperone,4847
,0,,CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21,379215-96-0,4282258
,0,,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,droperidol,3168
,0,,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1,155204-26-5,6603915
,0,,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,pimozide,16362
,0,,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,Fluspirilene,3396
,0,,CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,CHEMBL11493,16759249
,0,,NC(Cc1ccc(F)cc1)C(=O)O,51-65-0,4654
,0,,NC(=O)c1ccc(OCC(O)CN2CC=C(c3ccc(F)cc3)CC2)cc1,Ro 8-4304,9799515
,0,,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,152121-30-7,5169
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(F)cc1,1-(4-Fluorobenzyl)-5-methoxy-2-methylindole-3-acetic acid,3448892
,0,,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,Flupirtine,53276
,0,,Nc1ncnc2n[nH]c(Nc3ccc(F)cc3)c12,CGP 57380,11644425
,0,,CC(C=Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O,1-[4-[3-(4-fluorophenoxy)phenyl]but-3-en-2-yl]-1-hydroxyurea,2491
,0,,O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F,Ro 41-0960,3495594
,0,,O=S(=O)(c1cccc2c(I)cccc12)N1CCCNCC1,ML-7,4216
,0,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,amiodarone,2157
,0,,COc1cc(C=C(C#N)C(=O)c2ccc(O)c(O)c2)cc(I)c1O,"2-(3,4-dihydroxybenzoyl)-3-(4-hydroxy-3-iodo-5-methoxyphenyl)prop-2-enenitrile",3725
,0,,NC(N)=NCc1cccc(I)c1,Iobenguane,60860
,0,,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O,"5-[2-chloro-6-[(3-iodophenyl)methylamino]-9-purinyl]-3,4-dihydroxy-N-methyl-2-oxolanecarboxamide",393593
,0,,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O,"3,4-dihydroxy-5-[6-[(3-iodophenyl)methylamino]purin-9-yl]-N-methyloxolane-2-carboxamide",3668
,0,,NC(Cc1ccc(O)c(I)c1)C(=O)O,2-amino-3-(4-hydroxy-3-iodophenyl)propanoic acid,6272
,0,,COc1cc(CC(C)N)c(OC)cc1I,"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine",1229
,0,,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1,GW305074X,5034
,0,,CC(C)NC(C)Cc1ccc(I)cc1,iofetamine,3729
,0,,Ic1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,"L-703,606 oxalate",3851
,0,,NC(=O)CI,iodoacetamide,3727
,0,,C#CCNC(C)Cc1ccccc1,(1-PHENYLPROPAN-2-YL)(PROP-2-YN-1-YL)AMINE,200718
,0,,CCc1cccc(N(C)C(N)=Nc2cccc3ccccc23)c1,Aptiganel,60840
,0,,CC(N)=NCc1cccc(CN)c1,1400W,1433
,0,,NC(N)=NC(N)=Nc1ccccc1,phenylbiguanide,4780
,0,,CNC1(C)C2CCC(C2)C1(C)C,mecamylamine,4032
,0,,C#CCN(C)Cc1ccccc1,Eutron,4688
,0,,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,cyclobenzaprine,2895
,0,,CN(C)CCC=C1c2ccccc2CCc2ccccc21,amitriptyline,2160
,0,,CNCCCCCNCCC1CC2CCCC(C2)C1,Lopac0_000589,11957561
,0,,CNCCCC1c2ccccc2C=Cc2ccccc21,protriptyline,4976
,0,,NC(N)=NCCCCN=C(N)N,arcaine,2227
,0,,CN(C)CCCN1c2ccccc2CCc2ccccc21,imipramine,3696
,0,,CNCCCN1c2ccccc2CCc2ccccc21,desipramine,2995
,0,,NNCCc1ccccc1,Phenelzine,3675
,0,,CCCN1CCCC(c2cccc(C#N)c2)C1,3-(1-propylpiperidin-3-yl)benzonitrile,5119
,0,,CC12NC(Cc3ccccc31)c1ccccc12,Neurogard,1207
,0,,C1CCc2nnnn2CC1,Pentetrazol,5917
,0,,Cc1cccc(C=Cc2ccccc2)n1,NSC 36665,235382
,0,,Cc1cccc(C#Cc2ccccc2)n1,2-Methyl-6-(phenylethynyl)pyridine,3025961
,0,,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,triamterene,5546
,0,,CN(C)c1nc(N(C)C)nc(N(C)C)n1,altretamine,2123
,0,,CCCN1CCCC2Cc3nc(N)ncc3CC21,NCGC00162319-02,9992142
,0,,CC(C)Cn1cnc2c(N)nc3ccccc3c21,IMIQUIMOD,57469
,0,,c1ccc2nc(N3CCNCC3)ccc2c1,quipazine,5011
,0,,Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1cccnc1N2,JL-18,3802
,0,,CN1CCCC1c1cccnc1,3-(1-methylpyrrolidin-2-yl)pyridine,942
,0,,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,GW2974,6603857
,0,,Nc1ccncc1,4-aminopyridine,1727
,0,,CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C,pinacidil,4826
,0,,c1ccc(-c2ccccn2)nc1,"2,2'-BIPYRIDINE",1474
,0,,CN(C)CCC(c1ccccc1)c1ccccn1,pheniramine,4761
,0,,Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1,DTXSID80274469,5588
,0,,Cn1ccnc1,1-methylimidazole,1390
,0,,Cc1ccccc1C=CC1=NCCN1,"2-[2-(2-methylphenyl)ethenyl]-4,5-dihydro-1H-imidazole",3508194
,0,,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,xylometazoline,5709
,0,,Nc1ncnc2c1ncn2C1CCCC1,9-Cyclopentyladenine,12852
,0,,Cn1cnc2c(NC3CCCC3)ncnc21,N6-Cyclopentyl-9-methyladenine,4401
,0,,Nn1nnc2ccccc21,1-aminobenzotriazole,1367
,0,,N=C(N)N1CCc2ccccc2C1,Debrisoquine,2966
,0,,CC12CC3CC(C)(C1)CC(N)(C3)C2,memantine,4054
,0,,CN1Cc2c(N)cccc2C(c2ccccc2)C1,Nomifensine,4528
,0,,N#CCCN,3-aminopropionitrile,1647
,0,,NCCCCCCCCCCN,"1,10-Diaminodecane",1317
,0,,CC(C[N+](C)(C)C)OC(N)=O,bethanechol,2370
,0,,CC(=O)OC(C)C[N+](C)(C)C,methacholine,1993
,0,,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1N)C2,Aminobenztropine,2143
,0,,Cc1ccccc1C(OCCN(C)C)c1ccccc1,orphenadrine,4601
,0,,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C,DL-Palmitoyl Carnitine,462
,0,,CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C,ACar 18:0,5282
,0,,CNCCC(Oc1ccccc1C)c1ccccc1,N-methyl-3-(2-methylphenoxy)-3-phenylpropan-1-amine,6850813
,0,,CNC(=O)OCC[N+](C)(C)C,N-methylcarbamylcholine,4136
,0,,COC(=O)C(N)CCCN=C(N)N[N+](=O)[O-],MLS006011709,3864
,0,,COC(=O)C(NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1,CHEMBL429951,4529080
,0,,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,ipratropium,3746
,0,,C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,"3-[(3-hydroxy-2-phenylpropanoyl)oxy]-8,8-dimethyl-8-azoniabicyclo[3.2.1]octane",5861
,0,,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Daturine (sulfate),3661
,0,,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1,"4-Diphenylacetoxy-1,1-dimethylpiperidinium",1734
,0,,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,proadifen,4910
,0,,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,oxybutynin,4634
,0,,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O,SCHEMBL15387476,3443
,0,,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,BDBM86425,4675
,0,,CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O,Phorbol myristate acetate,4792
,0,,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,Moxisylyte,4260
,0,,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,nimodipine,4497
,0,,C#CCN1C(C)=C(C(=O)OC)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C,MRS 1845,11538542
,0,,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,SCHEMBL3334757,2752
,0,,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],nifedipine,4485
,0,,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,carbetapentane,2562
,0,,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,dicyclomine,3042
,0,,COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1,FPL 64176,3423
,0,,C[N+]1(C)C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,CHEMBL111583,11957729
,0,,CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,8-methyl-8-azabicyclo[3.2.1]oct-3-yl 1H-indole-3-carboxylate,5595
,0,,O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12,SB 203186,3272300
,0,,CCN(CC)CCOC(=O)c1ccc(N)cc1,procaine,4914
,0,,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,tetracaine,5411
,0,,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C,etazolate,3277
,0,,COC(=O)c1cc2c(cn1)[nH]c1ccccc12,beta-CCM,107704
,0,,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,succinylcholine,5314
,0,,CCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1,TMPH,11207937
,0,,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,NEOSTIGMINE,4456
,0,,CNC(=O)Oc1ccc2c(c1)C1CCN(C)C1N2C,"1,8-dimethyl-1,2,3,3a,8,8a-hexahydropyrrolo[2,3-b]indol-5-yl methylcarbamate",3910245
,0,,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,doxylamine,3162
,0,,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1,U 101958,5615
,0,,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,3-(diphenylmethoxy)-8-methyl-8-azabicyclo[3.2.1]octane,2344
,0,,CN(C)CCOC(c1ccccc1)c1ccccc1,diphenhydramine,3100
,0,,COC1=C(OC)C(=O)c2ccccc2C1=O,6956-96-3,3136
,0,,COc1cc(=O)n(C)c2c(OCC(O)C(C)(C)O)cccc12,Foliosidine,2837663
,0,,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,(R/S)-Colchicine,2833
,0,,COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,Gallopamil,1234
,0,,CCN(CC)CCCCCCCCOC(=O)c1cc(OC)c(OC)c(OC)c1,TMB-8,5494
,0,,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,Dilazep,3074
,0,,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1,t-0156,5368
,0,,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccc(OCc3ccccn3)cc2c(=O)n1-c1ccc(N)cc1,T-1032 free base,5369
,0,,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,trimethoprim,5578
,0,,COc1ccc(NC=O)c(C(=O)CCNC(C)=O)c1,52450-38-1,171161
,0,,COc1cc(C=C(C#N)C#N)cc(O)c1O,Tyrphostin AG 34,667645
,0,,C=CCN1CC(C)N(C(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)CC1C,(Rac)-SNC80,3522273
,0,,COc1cc(C(O)C(=O)O)ccc1O,55-10-7,1245
,0,,COc1cc(C(O)CN)ccc1O,NORMETANEPHRINE,1237
,0,,COc1cc(C(O)CO)ccc1O,Vanylglycol,10805
,0,,CCN(CC)C(=O)c1ccc(O)c(OC)c1,ETHAMIVAN,9363
,0,,COc1cc(CC(=O)O)ccc1O,Homovanillic acid,1738
,0,,COc1cc(CCN)ccc1O,4-(2-Aminoethyl)-2-methoxyphenol,1669
,0,,COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O,Dihydrocapsaicin,107982
,0,,CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,NONIVAMIDE,2998
,0,,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC,Tranilast trans-,5527
,0,,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,VERAPAMIL,2520
,0,,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,papaverine,4680
,0,,COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC,YS-035,5714
,0,,COc1ccc(CCNCC(O)c2ccc(O)cc2)cc1OC,"4-(2-{[2-(3,4-dimethoxyphenyl)ethyl]amino}-1-hydroxyethyl)phenol",3818
,0,,COc1cc(OC)c(C=C2C(=O)Nc3ccccc32)c(OC)c1,"3-[(2,4,6-trimethoxyphenyl)methylidene]-1H-indol-2-one",3674
,0,,COc1ccc2c(c1)C(=Cc1cnc[nH]1)C(=O)N2,3-(1H-imidazol-5-ylmethylidene)-5-methoxy-1H-indol-2-one,24906268
,0,,COc1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12,"2-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",1573
,0,,CCOC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(OC)ccc1-2,[3H]L655708,4203080
,0,,COc1ccc2[nH]cc(CCN(C)C)c2c1,"N,N-Dimethyl-5-methoxytryptamine",1832
,0,,COc1ccc2[nH]cc(CCN)c2c1,5-METHOXYTRYPTAMINE,1833
,0,,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,Melatonin,896
,0,,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O,6-HYDROXYMELATONIN,1864
,0,,COc1ccc2cc(C(C)C(=O)O)ccc2c1,2-(6-Methoxy-2-naphthyl)propionic acid,1302
,0,,COc1cc2c(cc1OC)C(c1ccccc1)CN(C)CC2,Trimopam,5024
,0,,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,"ISOEMETINE, TETRADEHYDRO-",9426
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccccc1,1-Benzoyl-5-methoxy-2-methylindole-3-acetic acid,4177957
,0,,CCCC(=O)NCCc1c2n(c3ccc(OC)cc13)Cc1ccccc1-2,IIK7,4172142
,0,,CCCC(=O)NCCc1c2n(c3ccc(OC)cc13)CCCc1ccccc1-2,DTXSID201017981,5311198
,0,,COc1cc2nc(N3CCN(C(=O)OCc4ccccc4)C(C(=O)NC(C)(C)C)C3)nc(N)c2cc1OC,Lopac0_001186,10098248
,0,,COc1ccc2c(c1)C13CCCCC1C(C2)NCC3,CHEMBL297313,1671
,0,,CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12,82499-00-1,104999
,0,,COc1ccc2[nH]c3c(c2c1)CCNC3,20315-68-8,1868
,0,,CCCN(CCC)C1Cc2cc(OC)c(OC)cc2C1,82668-33-5,5626
,0,,COc1ccc2c(c1)CCC1C2CCC2(C)C(NCCCCCCN3C(=O)C=CC3=O)CCC12,"1-[6-[(3-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl)amino]hexyl]pyrrole-2,5-dione",5631
,0,,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,Neuro_000020,3823887
,0,,COc1ccc(C(=O)N2CCCC2=O)cc1,aniracetam,2196
,0,,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,formoterol,3410
,0,,COc1ccc(C=C(C#N)C#N)cc1,Tyrphostin A1,2063
,0,,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,Mepyramine,4992
,0,,COc1ccc(CNC(=O)C=Cc2ccc3[nH]cc(CCN(C)C)c3c2)cc1,3-[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]-N-[(4-methoxyphenyl)methyl]-2-propenamide,173615
,0,,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,picotamide,4814
,0,,COc1ccc(CCN)cc1O,5-(2-Aminoethyl)-2-methoxyphenol,1748
,0,,COc1ccc(OC)c(C(O)C(C)N)c1,methoxamine,6082
,0,,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(C)CC3,SCHEMBL154292,5021
