Compound,Life_extended,CAS Number,SMILES,PubChem_Name,PubChem_CID
,0,,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,"11-hydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one",2462.0
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NNC(=O)c2ccccc2)CCC3(O)C1C5,"N-[(4a,9-dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ylidene)amino]benzamide",4426.0
,0,,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,"(9-butyl-9-methyl-3-oxa-9-azoniatricyclo[3.3.1.02,4]nonan-7-yl) 3-hydroxy-2-phenylpropanoate",3636.0
,0,,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,"[4,12-diacetyloxy-15-(3-benzamido-2-hydroxy-3-phenylpropanoyl)oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate",4666.0
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,"4a,9-dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",4425.0
,0,,O=C(O)C1C2CCC(O2)C1C(=O)O,"7-oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid",3225.0
,0,,CC(C)CC(NC(=O)C1OC1C(=O)O)C(=O)NCCCCN=C(N)N,3-[[1-[4-(diaminomethylideneamino)butylamino]-4-methyl-1-oxopentan-2-yl]carbamoyl]oxirane-2-carboxylic acid,4641099.0
,0,,CNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,"5-(6-aminopurin-9-yl)-3,4-dihydroxy-N-methyloxolane-2-carboxamide",288044.0
,0,,CNC(=O)C1OC(n2cnc3c(NCc4ccc(N)cc4)ncnc32)C(O)C1O,"5-[6-[(4-aminophenyl)methylamino]purin-9-yl]-3,4-dihydroxy-N-methyloxolane-2-carboxamide",1970.0
,0,,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O,"3-[4-[2-[[6-amino-9-[5-(ethylcarbamoyl)-3,4-dihydroxyoxolan-2-yl]purin-2-yl]amino]ethyl]phenyl]propanoic acid",2691.0
,0,,CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,"5-(6-aminopurin-9-yl)-N-ethyl-3,4-dihydroxyoxolane-2-carboxamide",2868392.0
,0,,CCCCC#Cc1nc(N)c2ncn(C3OC(C(=O)NCC)C(O)C3O)c2n1,"5-(6-amino-2-hex-1-ynylpurin-9-yl)-N-ethyl-3,4-dihydroxyoxolane-2-carboxamide",4438292.0
,0,,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,"9-acetyl-7-(4-amino-5-hydroxy-6-methyloxan-2-yl)oxy-6,9,11-trihydroxy-8,10-dihydro-7H-tetracene-5,12-dione",3685.0
,0,,CC1OC(C[N+](C)(C)C)CC1O,(4-hydroxy-5-methyloxolan-2-yl)methyl-trimethylazanium,5079496.0
,0,,CNc1ccc2oc(CC3OC4(CCC3C)OC(C(C)C(=O)c3ccc[nH]3)C(C)CC4C)nc2c1C(=O)O,"5-(methylamino)-2-[[3,5,9-trimethyl-2-[1-oxo-1-(1H-pyrrol-2-yl)propan-2-yl]-1,7-dioxaspiro[5.5]undecan-8-yl]methyl]-1,3-benzoxazole-4-carboxylic acid",1959.0
,0,,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,"5-amino-2-(aminomethyl)-6-[5-[3,5-diamino-2-[3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-hydroxycyclohexyl]oxy-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl]oxyoxane-3,4-diol",4689.0
,0,,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,"1-[4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",5726.0
,0,,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,"4-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one",1805.0
,0,,Nc1nccc2c1ncn2C1OC(CO)C(O)C1O,"2-(4-aminoimidazo[4,5-c]pyridin-1-yl)-5-(hydroxymethyl)oxolane-3,4-diol",1651.0
,0,,Nc1nc(Nc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,"2-(6-amino-2-anilinopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",1585.0
,0,,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",191.0
,0,,CC(Cc1ccccc1)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,"2-(hydroxymethyl)-5-[6-(1-phenylpropan-2-ylamino)purin-9-yl]oxolane-3,4-diol",5022.0
,0,,OCC1OC(n2cnc3c(NC4CC5CCC4C5)ncnc32)C(O)C1O,"2-[6-(2-bicyclo[2.2.1]heptanylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",15599139.0
,0,,OCC1OC(n2cnc3c(NC4CCCC4O)ncnc32)C(O)C1O,"2-[6-[(2-hydroxycyclopentyl)amino]purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",4545575.0
,0,,CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,"2-(hydroxymethyl)-5-[6-(methylamino)purin-9-yl]oxolane-3,4-diol",1869.0
,0,,OCC1OC(n2cnc3c(NC4CCCC4)ncnc32)C(O)C1O,"2-[6-(cyclopentylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",4402.0
,0,,OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1O,"2-[6-(cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",2692.0
,0,,Cc1ccccc1CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,"2-(hydroxymethyl)-5-[6-[(2-methylphenyl)methylamino]purin-9-yl]oxolane-3,4-diol",4549312.0
,0,,Nc1ccc(CCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1,"2-[6-[2-(4-aminophenyl)ethylamino]purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",4397.0
,0,,OCC1OC(n2cnc3c(NCCc4ccccc4)ncnc32)C(O)C1O,"2-(hydroxymethyl)-5-[6-(2-phenylethylamino)purin-9-yl]oxolane-3,4-diol",4398.0
,0,,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1O,"1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-hydroxyimidazole-4-carboxamide",4213.0
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NN=C2CCC4(O)C6Cc7ccc(O)c8c7C4(CCN6CC=C)C2O8)CCC3(O)C1C5,"7-[(4a,9-dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ylidene)hydrazinylidene]-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,9-diol",4424.0
,0,,CN(C)CCCOC1C(C(O)CO)OC2OC(C)(C)OC21,"1-[6-[3-(dimethylamino)propoxy]-2,2-dimethyl-3a,5,6,6a-tetrahydrofuro[2,3-d][1,3]dioxol-5-yl]ethane-1,2-diol",2158.0
,0,,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(CC2CC2)CCC314,"3-(cyclopropylmethyl)-4a-hydroxy-9-methoxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",1246.0
,0,,CC1(C(=O)O)C2CCC(O2)C1(C)C(=O)O,"2,3-dimethyl-7-oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid",2544.0
,0,,O=c1cc(O)cc(C=Cc2ccc(O)c(O)c2)o1,"6-[2-(3,4-dihydroxyphenyl)ethenyl]-4-hydroxypyran-2-one",54722180.0
,0,,O=C1OC(=O)C2C3CCC(O3)C12,"4,10-dioxatricyclo[5.2.1.02,6]decane-3,5-dione",93004.0
,0,,CC12C(=O)OC(=O)C1(C)C1CCC2O1,"2,6-dimethyl-4,10-dioxatricyclo[5.2.1.02,6]decane-3,5-dione",2545.0
,0,,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,"3-(4,5-diphenyl-1,3-oxazol-2-yl)propanoic acid",4614.0
,0,,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,"1-[[5-(4-nitrophenyl)furan-2-yl]methylideneamino]imidazolidine-2,4-dione",2952.0
,0,,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1,[5-(1-benzylindazol-3-yl)furan-2-yl]methanol,5712.0
,0,,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6COC(=O)C6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,"4-[1,5,11,14-tetrahydroxy-10-(hydroxymethyl)-13-methyl-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]oxolan-2-one",3068.0
,0,,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,"5-[(7,8-dihydroxy-2-methyl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl)oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",3310.0
,0,,CCC1C(=O)OCC1Cc1cncn1C,3-ethyl-4-[(3-methylimidazol-4-yl)methyl]oxolan-2-one,4819.0
,0,,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,"5-hydroxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-8-one",4865.0
,0,,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,5281708.0
,0,,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,"(3-ethenyl-6,10,10b-trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-5,6,6a,8,9,10-hexahydro-2H-benzo[f]chromen-5-yl) acetate",3413.0
,0,,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,"2,2-dimethyl-3,4-dihydrobenzo[h]chromene-5,6-dione",3885.0
,0,,CCCN1CCOC2c3cc(O)ccc3OCC21,"4-propyl-3,4a,5,10b-tetrahydro-2H-chromeno[4,3-b][1,4]oxazin-9-ol",5117.0
,0,,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,"2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",5281670.0
,0,,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",5280443.0
,0,,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O,"1-[6-[(3-acetyl-2,4,6-trihydroxy-5-methylphenyl)methyl]-5,7-dihydroxy-2,2-dimethylchromen-8-yl]-3-phenylprop-2-en-1-one",5103.0
,0,,O=c1ccc2ccc(O)c(O)c2o1,"7,8-dihydroxychromen-2-one",5280569.0
,0,,CN1CCC2(CCN3CCc4c(oc5ccccc45)C3C2)N(C)C1=O,"1',3'-dimethylspiro[1,3,4,6,7,12b-hexahydro-[1]benzofuro[2,3-a]quinolizine-2,4'-1,3-diazinane]-2'-one",123679.0
,0,,O=C(O)c1cc2cc(Cc3cccnc3)ccc2o1,5-(pyridin-3-ylmethyl)-1-benzofuran-2-carboxylic acid,3437.0
,0,,O=Nc1ccc2oc(=O)ccc2c1,6-nitrosochromen-2-one,1871.0
,0,,CCC1(C2=NCCN2)Cc2ccccc2O1,"2-(2-ethyl-3H-1-benzofuran-2-yl)-4,5-dihydro-1H-imidazole",72016.0
,0,,CCOC(=O)C12CC1C(=NO)c1ccccc1O2,"ethyl 7-hydroxyimino-1,7a-dihydrocyclopropa[b]chromene-1a-carboxylate",5126051.0
,0,,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,2-(2-amino-3-methoxyphenyl)chromen-4-one,4713.0
,0,,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,methyl-di(propan-2-yl)-[2-(9H-xanthene-9-carbonyloxy)ethyl]azanium,4934.0
,0,,CCn1ccnc1CC1COc2ccccc2O1,"2-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)-1-ethylimidazole",133621.0
,0,,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,"8-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",5268.0
,0,,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1,"N-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)-2-(2,6-dimethoxyphenoxy)ethanamine",5685.0
,0,,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,"1,2-dimethoxy-12-methyl-[1,3]benzodioxolo[5,6-c]phenanthridin-12-ium",2703.0
,0,,CC1=NN=C(c2ccc(N)cc2)c2cc3c(cc2C1)OCO3,"4-(8-methyl-9H-[1,3]dioxolo[4,5-h][2,3]benzodiazepin-5-yl)aniline",3538.0
,0,,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,"5-ethyl-8-oxo-[1,3]dioxolo[4,5-g]quinoline-7-carboxylic acid",4628.0
,0,,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,"1-ethyl-4-oxo-[1,3]dioxolo[4,5-g]cinnoline-3-carboxylic acid",2762.0
,0,,COC1(C2=NCCN2)COc2ccccc2O1,"2-(3-methoxy-2H-1,4-benzodioxin-3-yl)-4,5-dihydro-1H-imidazole",108094.0
,0,,c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCO4)CC1)C2,"1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-(2,3-dihydro-1H-inden-2-yl)piperazine",132787.0
,0,,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,"24-methyl-5,7,18,20-tetraoxa-24-azoniahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-1(24),2,4(8),9,11,13,15,17(21),22-nonaene",5154.0
,0,,CCN1CCc2nc(N)oc2CC1,"6-ethyl-4,5,7,8-tetrahydro-[1,3]oxazolo[4,5-d]azepin-2-amine",2277.0
,0,,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,"3-[1,5,11,14-tetrahydroxy-10-(hydroxymethyl)-13-methyl-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-2H-furan-5-one",4605.0
,0,,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1,"2-[4-[4-(2-hydroxy-4,4-dimethylmorpholin-4-ium-2-yl)phenyl]phenyl]-4,4-dimethylmorpholin-4-ium-2-ol",3585.0
,0,,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,"19-ethyl-19-hydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4,6,8,10,15(20)-heptaene-14,18-dione",2538.0
,0,,CN(C)CCC=C1c2ccccc2COc2ccccc21,"3-(6H-benzo[c][1]benzoxepin-11-ylidene)-N,N-dimethylpropan-1-amine",3158.0
,0,,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,"[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl]-(oxolan-2-yl)methanone",5401.0
,0,,Nc1ncnc2c1ncn2C1CCCO1,9-(oxolan-2-yl)purin-6-amine,5270.0
,0,,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,"2-(1,8-diethyl-4,9-dihydro-3H-pyrano[3,4-b]indol-1-yl)acetic acid",3308.0
,0,,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1,"3-(furan-2-ylmethyl)-1,8-dimethyl-7H-purine-2,6-dione",3433.0
,0,,C1CCC(N=C(NC23CC4CC(CC(C4)C2)C3)N2CCOCC2)CC1,N-(1-adamantyl)-N'-cyclohexylmorpholine-4-carboximidamide,64393.0
,0,,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,N-[2-[[2-hydroxy-3-(4-hydroxyphenoxy)propyl]amino]ethyl]morpholine-4-carboxamide,155774.0
,0,,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,"3-ethyl-2-methyl-5-(morpholin-4-ylmethyl)-1,5,6,7-tetrahydroindol-4-one",23897.0
,0,,C1COC(NC(C2CC2)C2CC2)=N1,"N-(dicyclopropylmethyl)-4,5-dihydro-1,3-oxazol-2-amine",68712.0
,0,,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1,"2,3-dihydro-1,4-benzodioxin-6-yl(piperidin-1-yl)methanone",2890.0
,0,,NC(Cn1oc(=O)[nH]c1=O)C(=O)O,"2-amino-3-(3,5-dioxo-1,2,4-oxadiazolidin-2-yl)propanoic acid",1209.0
,0,,CCOC([O-])=Nc1c[n+](N2CCOCC2)no1,1-ethoxy-N-(3-morpholin-4-yloxadiazol-3-ium-5-yl)methanimidate,4238.0
,0,,O=c1onc2cnc3ccccc3n12,"[1,2,4]oxadiazolo[4,3-a]quinoxalin-1-one",1456.0
,0,,Cc1o[nH]c(=O)c1CC(N)C(=O)O,"2-amino-3-(5-methyl-3-oxo-1,2-oxazol-4-yl)propanoic acid",1221.0
,0,,CC(C)(C)c1o[nH]c(=O)c1CC(N)C(=O)O,"2-amino-3-(5-tert-butyl-3-oxo-1,2-oxazol-4-yl)propanoic acid",2253.0
,0,,NC(C(=O)O)c1cc(=O)[nH]o1,"2-amino-2-(3-oxo-1,2-oxazol-5-yl)acetic acid",1233.0
,0,,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,"[4-[2-methyl-4-(5-methyl-1,2,4-oxadiazol-3-yl)phenyl]phenyl]-(1'-methylspiro[6,7-dihydro-2H-furo[2,3-f]indole-3,4'-piperidine]-5-yl)methanone",3378093.0
,0,,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,"N-[4-methoxy-3-(4-methylpiperazin-1-yl)phenyl]-4-[2-methyl-4-(5-methyl-1,2,4-oxadiazol-3-yl)phenyl]benzamide",107780.0
,0,,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O,2-[(3-amino-2-hydroxy-4-phenylbutanoyl)amino]-4-methylpentanoic acid,3238.0
,0,,NC(C(=O)O)C1CC1C(=O)O,2-[amino(carboxy)methyl]cyclopropane-1-carboxylic acid,1271.0
,0,,O=C(O)C1CCCNC1C(=O)O,"piperidine-2,3-dicarboxylic acid",1226.0
,0,,O=C(O)C1CCCNC1,piperidine-3-carboxylic acid,4498.0
,0,,C=C(C)C1CNC(C(=O)O)C1CC(=O)O,3-(carboxymethyl)-4-prop-1-en-2-ylpyrrolidine-2-carboxylic acid,3816.0
,0,,CC(C)C1CNC(C(=O)O)C1CC(=O)O,3-(carboxymethyl)-4-propan-2-ylpyrrolidine-2-carboxylic acid,1650.0
,0,,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2-(3-benzoylphenyl)propanoic acid,3825.0
,0,,NC(C(=O)O)C(O)C(=O)O,2-amino-3-hydroxybutanedioic acid,5425.0
,0,,C=CCC(N)C(=O)O,2-aminopent-4-enoic acid,14044.0
,0,,CN(C)C(N)=NCCCC(N)C(=O)O,2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,501.0
,0,,NC(=NCCCC(N)C(=O)O)N[N+](=O)[O-],2-amino-5-[[amino(nitramido)methylidene]amino]pentanoic acid,4367.0
,0,,NC(=NCCCC(N)C(=O)O)NO,2-amino-5-[[amino-(hydroxyamino)methylidene]amino]pentanoic acid,440849.0
,0,,CC(N)=NCCCCC(N)C(=O)O,2-amino-6-(1-aminoethylideneamino)hexanoic acid,3863.0
,0,,Cc1cc(Cn2cnc3c2CC(C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N,"1-[(4-amino-3-methylphenyl)methyl]-5-(2,2-diphenylacetyl)-6,7-dihydro-4H-imidazo[4,5-c]pyridine-6-carboxylic acid",114899.0
,0,,O=C(O)CCC(=O)N1CCCC1C(=O)O,1-(3-carboxypropanoyl)pyrrolidine-2-carboxylic acid,4389.0
,0,,O=C(O)C1CC(C(=O)O)N1,"azetidine-2,4-dicarboxylic acid",5370.0
,0,,O=C(O)C1CCN1,azetidine-2-carboxylic acid,17288.0
,0,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,"3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",5538.0
,0,,NC(=O)C(=O)O,oxamic acid,974.0
,0,,Cc1cc(C)c(NC(=O)CC(CC(=O)O)c2cccc3ccccc23)c(C(=O)N2CCC3(CCCC3)CC2)c1,"5-[2-(8-azaspiro[4.5]decane-8-carbonyl)-4,6-dimethylanilino]-3-naphthalen-1-yl-5-oxopentanoic acid",3038479.0
,0,,CNC(CC(=O)O)C(=O)O,2-(methylamino)butanedioic acid,4376.0
,0,,C=C(C)C1CC=C(C(=O)O)CC1,4-prop-1-en-2-ylcyclohexene-1-carboxylic acid,1256.0
,0,,NC1(C(=O)O)CCC(C(=O)O)C1,"1-aminocyclopentane-1,3-dicarboxylic acid",1310.0
,0,,NC1(C(=O)O)CCc2cc(C(=O)O)ccc21,"1-amino-2,3-dihydroindene-1,5-dicarboxylic acid",2071.0
,0,,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,5-nitro-2-(3-phenylpropylamino)benzoic acid,4549.0
,0,,CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1,4-(4-octylphenyl)benzoic acid,1714884.0
,0,,CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,"4-[2-(5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)prop-1-enyl]benzoic acid",5602.0
,0,,CC(N)(C(=O)O)c1ccc(C(=O)O)cc1,4-(1-amino-1-carboxyethyl)benzoic acid,1222.0
,0,,O=C(O)CCC(NC(=O)c1ccccc1C(=O)O)C(=O)O,2-[(2-carboxybenzoyl)amino]pentanedioic acid,4805.0
,0,,O=C(O)c1ccccc1Nc1ccccc1,2-anilinobenzoic acid,4386.0
,0,,O=C(O)C1CCNCC1,piperidine-4-carboxylic acid,3773.0
,0,,CCCCc1ccc(C(=O)O)nc1,5-butylpyridine-2-carboxylic acid,3442.0
,0,,NC(N)=NC(CCC(=O)O)C(=O)O,2-(diaminomethylideneamino)pentanedioic acid,2105.0
,0,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,"2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid",4112.0
,0,,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,"2-[[4-[(2,4-diaminopteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid",2154.0
,0,,CC1(C)CCC(NC(=O)C(N)CCC(=O)O)CC1,"4-amino-5-[(4,4-dimethylcyclohexyl)amino]-5-oxopentanoic acid",5206034.0
,0,,C#CC(N)CCC(=O)O,4-aminohex-5-ynoic acid,3452.0
,0,,C=CC(N)CCC(=O)O,4-aminohex-5-enoic acid,5665.0
,0,,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,4-benzamido-5-(dipropylamino)-5-oxopentanoic acid,4922.0
,0,,O=C(O)CC[N+](=O)[O-],3-nitropropanoic acid,1678.0
,0,,NCC1(CC(=O)O)CCCCC1,2-[1-(aminomethyl)cyclohexyl]acetic acid,3446.0
,0,,NC(CCCC(=O)O)C(=O)O,2-aminohexanedioic acid,469.0
,0,,CCCCCC(O)CCCC(=O)O,5-hydroxydecanoic acid,1825.0
,0,,CCCCCCCCCCCC=CC(C)(C)C=CCCCC(=O)O,"7,7-dimethylicosa-5,8-dienoic acid",1877.0
,0,,O=C(O)CCCCCCCC(=O)O,nonanedioic acid,2266.0
,0,,NCCCCCC(=O)O,6-aminohexanoic acid,564.0
,0,,NCCCC(=O)O,4-aminobutanoic acid,119.0
,0,,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,2-[bis[2-[bis(carboxymethyl)amino]ethyl]amino]acetic acid,3053.0
,0,,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(=O)O,"2-(icosa-5,8,11,14-tetraenoylamino)acetic acid",4345.0
,0,,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,2-[4-[1-hydroxy-4-[4-[hydroxy(diphenyl)methyl]piperidin-1-yl]butyl]phenyl]-2-methylpropanoic acid,3348.0
,0,,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1-(4-tert-butylphenyl)-4-[4-[hydroxy(diphenyl)methyl]piperidin-1-yl]butan-1-ol,5405.0
,0,,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,N-ethyl-3-hydroxy-2-phenyl-N-(pyridin-4-ylmethyl)propanamide,5593.0
,0,,CCCCCC(CC(=O)NO)C(=O)NC(C(=O)N1CCCC1CO)C(C)C,N'-hydroxy-N-[1-[2-(hydroxymethyl)pyrrolidin-1-yl]-3-methyl-1-oxobutan-2-yl]-2-pentylbutanediamide,2020.0
,0,,CCCCCCCCCCCCCC=CC(O)C(N)CO,"2-aminooctadec-4-ene-1,3-diol",1104.0
,0,,CCCCCCCCCCCCCCCC(O)C(N)CO,"2-aminooctadecane-1,3-diol",3126.0
